"","0","1","MeanDecreaseAccuracy","MeanDecreaseGini"
"NDAI",46.3265884763358,40.1287015376807,52.5452836097964,21316.2706243138
"SD",70.4698195396434,50.0775000686749,77.1359595525123,14479.22401752
"CORR",78.3198293103274,114.340666880818,100.949637495671,8851.83363182758
"Avg_NDAI",184.189113786733,88.3465231883249,166.831868468268,31955.3643173422
"DF",81.9760602105663,89.2408375640979,105.522485018182,5645.83770946144
"CF",58.7383862903413,57.8891068870559,76.6819541172066,5010.54468504982
"BF",57.8649920876435,50.5730775960125,71.3285756870152,5733.28812858975
"AF",73.6747321054298,57.4598952865417,94.6003255089799,8639.15204837989
"AN",57.1071312312131,77.7671614381135,80.3143558815828,8107.97704881098
